x,y
2550,135
2551,135
2552,138
2553,139
2554,135
2555,108
2556,161
2557,161
2558,161
2559,161
2560,139
2561,137
2562,137
2563,137
2564,138
2565,140
2566,108
2567,108
2568,107
2569,107
2570,107
2571,130
2572,137
2573,136
2574,135
2575,136
2576,138
2577,138
2578,107
2579,107
2580,107
2581,107
2582,107
2583,130
2584,138
2585,138
2586,139
2587,139
2588,107
2589,107
2590,107
2591,107
2592,107
2593,107
2594,107
2595,161
2596,161
2597,161
2598,161
2599,161
2600,161
2601,135
2602,135
2603,135
2604,135
2605,135
2606,130
2607,138
2608,135
2609,134
2610,136
2611,140
2612,107
2613,162
2614,162
2615,162
2616,162
2617,162
2618,107
2619,131
2620,132
2621,129
2622,130
2623,136
2624,138
2625,161
2626,108
2627,162
2628,162
2629,162
2630,162
2631,140
2632,139
2633,138
2634,138
2635,140
2636,141
2637,135
2638,108
2639,161
2640,134
2641,134
2642,134
2643,138
2644,131
2645,137
2646,131
2647,129
2648,106
2649,107
2650,107
2651,134
2652,163
2653,218
2654,224
2655,224
2656,224
2657,223
2658,223
2659,223
2660,223
2661,223
2662,164
2663,162
2664,108
2665,138
2666,137
2667,136
2668,136
2669,134
2670,128
2671,105
2672,105
2673,105
2674,105
2675,105
2676,106
2677,134
2678,137
2679,134
2680,132
2681,134
2682,139
2683,106
2684,161
2685,161
2686,161
2687,161
2688,161
2689,128
2690,129
2691,130
2692,127
2693,128
2694,136
2695,131
2696,135
2697,162
2698,162
2699,162
2700,162
2701,162
2702,139
2703,137
2704,135
2705,135
2706,136
2707,138
2708,135
2709,108
2710,161
2711,163
2712,162
2713,162
2714,162
2715,162
2716,162
2717,163
2718,162
2719,161
2720,161
2721,161
2722,161
2723,107
2724,138
2725,138
2726,137
2727,138
2728,140
2729,162
2730,162
2731,162
2732,162
2733,162
2734,108
2735,128
2736,130
2737,130
2738,129
2739,132
2740,134
2741,139
2742,162
2743,162
2744,162
2745,162
2746,162
2747,135
2748,139
2749,137
2750,135
2751,136
2752,140
2753,140
2754,161
2755,107
2756,135
2757,135
2758,135
2759,107
2760,107
2761,138
2762,137
2763,136
2764,138
2765,139
2766,106
2767,162
2768,163
2777,161
2778,160
2779,160
2780,108
2781,108
2782,108
2783,129
2784,130
2785,130
2786,134
2787,139
2788,107
2789,161
2790,161
2791,161
2792,108
2793,135
2794,131
2795,137
2796,138
2797,138
2798,138
2799,140
2800,107
2801,162
2802,162
2803,162
2804,135
2805,135
2806,135
2807,135
2808,127
2809,120
2810,128
2811,130
2812,129
2813,135
2814,135
2815,135
2816,135
2817,161
2818,135
2819,138
2820,135
2821,135
2822,135
2823,138
2824,139
2825,107
2826,163
2827,163
2828,163
2829,163
2830,162
2831,162
2832,162
2833,161
2834,108
2835,162
2836,163
2837,162
2838,135
2839,161
2840,161
2841,161
2842,161
2843,130
2844,131
2845,131
2846,134
2847,134
2848,129
2849,106
2850,106
2851,106
2852,106
2853,106
2854,138
2855,138
2856,131
2857,131
2858,131
2859,130
2860,107
2861,107
2862,107
2863,107
2864,107
2865,130
2866,135
2867,137
2868,137
2869,137
2870,139
2871,107
2872,161
2873,161
2874,161
2875,135
2876,135
2877,140
2878,139
2879,137
2880,137
2881,137
2882,139
2883,162
2884,162
2885,162
2886,162
2887,162
